,id,Median_HHI,state_code,county_code
5627,0500000US47023,45667,47,23
5628,0500000US47025,36077,47,25
5629,0500000US47027,31487,47,27
5630,0500000US47029,33614,47,29
5631,0500000US47031,47998,47,31
5632,0500000US47033,42047,47,33
5633,0500000US47035,43893,47,35
5634,0500000US47037,56507,47,37
5635,0500000US47039,40233,47,39
5636,0500000US47041,44134,47,41
5637,0500000US47043,50549,47,43
5638,0500000US47045,43762,47,45
5639,0500000US47047,59017,47,47
5640,0500000US47049,35084,47,49
5641,0500000US47051,49038,47,51
5642,0500000US47053,41886,47,53
5643,0500000US47055,47528,47,55
5644,0500000US47057,42997,47,57
5645,0500000US47059,40138,47,59
5646,0500000US47061,36987,47,61
5647,0500000US47063,42589,47,63
5648,0500000US47065,53035,47,65
5649,0500000US47067,28990,47,67
5650,0500000US47069,38651,47,69
5651,0500000US47071,39798,47,71
5652,0500000US47073,40335,47,73
5653,0500000US47075,38362,47,75
5654,0500000US47077,42430,47,77
5655,0500000US47079,40837,47,79
5656,0500000US47081,41998,47,81
5657,0500000US47083,43964,47,83
5658,0500000US47085,41510,47,85
5659,0500000US47087,36703,47,87
5660,0500000US47089,47264,47,89
5661,0500000US47091,34151,47,91
5662,0500000US47093,54437,47,93
5663,0500000US47095,34966,47,95
5664,0500000US47097,37915,47,97
5665,0500000US47099,41553,47,99
5666,0500000US47101,37139,47,101
5667,0500000US47103,45736,47,103
5668,0500000US47105,56078,47,105
5669,0500000US47107,41398,47,107
5670,0500000US47109,36055,47,109
5671,0500000US47111,36246,47,111
5672,0500000US47113,46223,47,113
5673,0500000US47115,48024,47,115
5674,0500000US47117,49370,47,117
5675,0500000US47119,54249,47,119
5676,0500000US47121,43250,47,121
5677,0500000US47123,38327,47,123
5678,0500000US47125,55972,47,125
5679,0500000US47127,52294,47,127
5680,0500000US47129,40166,47,129
5681,0500000US47131,39866,47,131
5682,0500000US47133,36558,47,133
5683,0500000US47135,34634,47,135
5684,0500000US47137,41004,47,137
5685,0500000US47139,41818,47,139
5686,0500000US47141,40888,47,141
5687,0500000US47143,39451,47,143
5688,0500000US47145,50003,47,145
5689,0500000US47147,61774,47,147
5690,0500000US47149,63846,47,149
5691,0500000US47151,35453,47,151
5692,0500000US47153,51750,47,153
5693,0500000US47155,45943,47,155
5694,0500000US47157,49782,47,157
5695,0500000US47159,46404,47,159
5696,0500000US47161,42269,47,161
5697,0500000US47163,43442,47,163
5698,0500000US47165,64631,47,165
5699,0500000US47167,60167,47,167
5700,0500000US47169,52864,47,169
5701,0500000US47171,39851,47,171
5702,0500000US47173,41352,47,173
5703,0500000US47175,37127,47,175
5704,0500000US47177,37715,47,177
5705,0500000US47179,46752,47,179
5706,0500000US47181,38634,47,181
5707,0500000US47183,38566,47,183
5708,0500000US47185,40745,47,185
5709,0500000US47187,109026,47,187
5710,0500000US47189,71513,47,189
5711,0500000US48001,43355,48,1
5712,0500000US48003,74233,48,3
5713,0500000US48005,47714,48,5
5714,0500000US48007,44865,48,7
5715,0500000US48009,64476,48,9
5716,0500000US48011,66563,48,11
5717,0500000US48013,55265,48,13
5718,0500000US48015,65365,48,15
5719,0500000US48017,46485,48,17
5720,0500000US48019,53683,48,19
5721,0500000US48021,62941,48,21
5722,0500000US48023,40750,48,23
5723,0500000US48025,42032,48,25
5724,0500000US48027,54184,48,27
5725,0500000US48029,55456,48,29
5726,0500000US48031,63071,48,31
5727,0500000US48033,81985,48,33
5728,0500000US48035,50882,48,35
5729,0500000US48037,47505,48,37
5730,0500000US48039,79270,48,39
5731,0500000US48041,46839,48,41
5732,0500000US48043,43894,48,43
5733,0500000US48045,42647,48,45
5734,0500000US48047,27378,48,47
5735,0500000US48049,45457,48,49
5736,0500000US48051,56235,48,51
5737,0500000US48053,59238,48,53
5738,0500000US48055,52278,48,55
